source,target,weight
and,program,2.751160144805908
under,and,0.490104109048843
who,you,1.210955381393433
time,you,0.886060714721680
other,have,0.752112507820129
who,with,1.639814257621765
mean,that,0.678891599178314
they,out,2.538168430328369
does,know,0.959738135337830
that,why,3.175518989562988
say,you,0.719678521156311
need,for,1.134469032287598
less,than,0.588974893093109
and,down,2.152711868286133
your,with,1.813834547996521
those,that,1.124124407768250
was,what,2.136718273162842
know,are,1.187281489372253
from,there,1.612581968307495
can,one,1.237059593200684
you,people,1.494724512100220
should,not,1.602581143379211
look,and,0.467163234949112
and,under,1.871237993240356
and,again,3.081876993179321
point,and,0.706575214862823
that,now,2.462120532989502
all,was,1.482780814170837
many,that,0.696703791618347
not,has,1.326195001602173
where,can,0.884620010852814
that,something,2.789276361465454
this,like,1.397112131118774
people,this,0.866097867488861
thing,that,0.749051690101624
are,just,1.026864528656006
things,that,0.569310069084167
and,between,2.663651943206787
also,have,0.938205242156982
and,things,1.927142381668091
was,would,1.723627328872681
say,and,0.786575734615326
they,them,1.455762028694153
they,what,2.684673786163330
before,and,0.554409861564636
system,for,0.621483266353607
which,has,1.109202027320862
this,may,1.987798690795898
got,and,0.696726977825165
with,about,1.904271602630615
about,they,1.322957158088684
tell,you,0.574262678623199
line,and,0.714670479297638
that,really,2.484180212020874
because,you,0.916202604770660
most,that,0.901559174060822
that,must,2.913051605224609
they,there,2.443677425384521
like,have,1.724566817283630
their,own,1.290293455123901
for,sale,2.176828145980835
any,are,1.572987914085388
first,that,0.788774251937866
that,its,2.847254991531372
were,with,0.974247097969055
from,which,0.894198775291443
with,like,1.151026368141174
for,now,2.283862352371216
one,but,0.994310736656189
for,know,2.389550924301147
there,will,0.808545351028442
those,are,0.990460336208344
was,out,2.020116329193115
but,also,1.202878117561340
with,more,1.560740470886230
all,from,1.312838673591614
also,you,0.882847189903259
same,that,1.037754058837891
against,and,0.614440023899078
and,before,1.660393238067627
around,and,0.690860986709595
with,who,1.778712153434753
and,support,2.342504024505615
and,her,2.965185880661011
about,was,1.423828601837158
and,never,1.805681467056274
made,and,0.593455791473389
are,out,1.630483031272888
not,people,1.416834473609924
because,not,1.221338152885437
any,have,1.621163964271545
well,you,0.667736530303955
more,this,1.139594078063965
things,and,0.531695008277893
that,two,2.478353738784790
for,get,3.417581796646118
not,even,1.503134131431580
and,each,1.668183088302612
and,must,2.651632308959961
our,that,0.793813288211823
see,for,1.326958060264587
think,are,1.103643774986267
come,and,0.604099631309509
and,space,2.246596574783325
united,states,0.177417978644371
you,believe,1.602170467376709
they,just,1.598517298698425
who,were,1.312295317649841
last,and,0.800627589225769
you,right,1.507169365882874
been,this,1.032229423522949
also,with,1.195507049560547
that,say,2.547278404235840
see,you,1.094723582267761
much,that,1.122727870941162
and,made,3.002563953399658
this,been,1.881642699241638
with,only,1.192548632621765
used,that,0.864457011222839
saying,that,0.629706740379333
this,don,1.679323315620422
anyone,know,0.761850416660309
that,made,3.298583030700684
but,when,0.940015614032745
other,than,0.836817622184753
for,does,2.253313779830933
they,could,1.557271122932434
are,many,0.892748117446899
and,anyone,2.090739488601685
when,for,1.229805827140808
this,who,2.158997058868408
world,and,0.533144891262054
are,very,1.483018398284912
their,this,1.540098905563354
still,and,0.611151099205017
you,really,1.427838802337646
with,when,1.331405639648438
one,other,0.848456740379333
but,any,1.301607489585876
for,most,2.445074796676636
for,two,2.298919439315796
three,and,0.598337173461914
not,who,1.747933506965637
been,with,1.358738780021667
and,without,2.146064281463623
want,you,0.847655057907104
from,what,1.771615386009216
two,that,0.762718081474304
when,with,1.373885154724121
day,and,0.469567537307739
don,what,1.811914563179016
much,more,1.006261706352234
him,that,1.169447302818298
and,really,2.261246204376221
her,and,0.418145745992661
don,they,1.521909117698669
they,get,2.559670686721802
even,you,0.769314110279083
that,going,2.182585716247559
since,and,0.801951885223389
are,them,0.935160636901855
were,you,0.719453036785126
get,with,1.310101747512817
including,and,0.505532860755920
for,good,3.816084146499634
called,and,0.750676393508911
you,please,1.775481343269348
your,can,1.724550366401672
being,that,0.846882164478302
could,not,0.975046694278717
was,just,1.272252082824707
one,are,0.944190382957458
get,from,1.114886164665222
than,this,1.209995865821838
there,which,0.701223671436310
why,not,1.010815143585205
all,can,1.466777205467224
some,people,1.071987628936768
well,for,0.809389948844910
there,who,1.153445124626160
should,for,1.457230806350708
not,like,1.131109118461609
can,see,0.929897129535675
this,other,1.673527598381042
not,some,1.591258525848389
not,them,1.141612648963928
have,don,1.547328233718872
this,out,2.458529949188232
these,for,1.201922297477722
version,and,0.793844699859619
only,have,1.470965623855591
could,for,0.886612236499786
not,their,1.477874040603638
would,they,2.112245559692383
for,first,2.215318441390991
but,some,1.143263220787048
find,and,0.763370454311371
and,power,2.273909330368042
and,please,2.811804533004761
may,for,0.899576604366302
can,there,1.567806005477905
and,got,1.526668787002563
while,and,0.895247399806976
any,can,1.964080452919006
are,would,1.391180157661438
have,like,1.287298917770386
new,that,0.962853968143463
going,and,0.566975355148315
and,let,1.687596082687378
this,how,1.570242404937744
where,you,0.687087297439575
you,has,1.399102091789246
and,another,1.942782402038574
most,are,0.794359087944031
only,but,1.503016471862793
will,from,1.390247106552124
and,something,2.538965940475464
each,and,0.664653301239014
that,first,2.388226985931396
that,said,2.828570127487183
which,will,1.024792075157166
what,does,1.106119155883789
time,this,0.911528766155243
and,help,1.417934417724609
based,and,0.471902102231979
and,probably,2.361717462539673
out,they,0.870477557182312
like,but,1.762143015861511
not,been,1.523387074470520
like,with,2.197526931762695
out,have,0.764934241771698
and,government,2.421018838882446
anyone,this,0.816567122936249
and,around,3.003395557403564
have,seen,1.342861175537109
have,time,2.027956008911133
this,because,1.507171988487244
but,more,1.101933360099792
run,and,0.628608167171478
there,they,1.166925072669983
only,with,1.874376296997070
not,which,1.062636137008667
your,will,1.122376084327698
and,going,1.986717462539673
from,all,1.009664893150330
use,with,1.466117501258850
different,and,0.618361532688141
something,like,0.579558312892914
know,they,1.392478585243225
you,going,1.254490256309509
his,for,1.912813305854797
that,need,1.862196207046509
their,not,1.995658397674561
support,and,0.672845840454102
without,and,0.754321634769440
are,going,0.974075853824615
people,their,0.850888133049011
evidence,that,0.539103507995605
hard,and,0.799114644527435
and,didn,2.236156225204468
with,also,1.703715205192566
many,have,0.632662594318390
